id,attr_time,,attr_x,attr_y,attr_z
196,1.54718E+12,2018-01-11 14:52:08,-0.248993,2.78827,8.93242
197,1.54718E+12,2018-01-11 14:52:08,-0.162613,2.85013,8.8392
198,1.54718E+12,2018-01-11 14:52:08,-0.150116,2.90822,8.84192
199,1.54718E+12,2018-01-11 14:52:08,-0.126022,2.90025,9.03447
200,1.54718E+12,2018-01-11 14:52:08,-0.0757446,2.87215,9.09189
201,1.54718E+12,2018-01-11 14:52:08,-0.0754852,2.83586,9.06195
202,1.54718E+12,2018-01-11 14:52:08,-0.147247,2.88503,9.22372
203,1.54718E+12,2018-01-11 14:52:08,-0.00904846,2.86142,9.17352
204,1.54718E+12,2018-01-11 14:52:08,0.0598145,2.41371,8.87048
205,1.54718E+12,2018-01-11 14:52:08,-0.186691,2.74799,9.52393
206,1.54718E+12,2018-01-11 14:52:09,0.343842,2.90039,9.1637
207,1.54718E+12,2018-01-11 14:52:09,0.306824,3.00703,8.15176
208,1.54718E+12,2018-01-11 14:52:09,0.0945129,3.01173,7.86476
209,1.54718E+12,2018-01-11 14:52:09,0.686951,3.74379,7.61983
210,1.54718E+12,2018-01-11 14:52:09,0.443497,4.23195,7.41878
211,1.54718E+12,2018-01-11 14:52:09,-0.0791168,4.61156,7.33583
212,1.54718E+12,2018-01-11 14:52:09,-0.743607,4.84981,7.89862
213,1.54718E+12,2018-01-11 14:52:09,-1.20348,4.90866,8.29468
214,1.54718E+12,2018-01-11 14:52:09,-1.1008,4.98093,8.78354
215,1.54718E+12,2018-01-11 14:52:09,-0.80957,4.68941,9.07603
216,1.54718E+12,2018-01-11 14:52:09,-0.383514,4.19829,8.7728
217,1.54718E+12,2018-01-11 14:52:09,-0.207489,4.06444,8.3698
218,1.54718E+12,2018-01-11 14:52:09,-0.363922,4.27684,8.09726
219,1.54718E+12,2018-01-11 14:52:09,-0.446182,4.20509,8.00751
220,1.54718E+12,2018-01-11 14:52:09,-0.815735,4.27582,8.11142
221,1.54718E+12,2018-01-11 14:52:09,-0.864151,4.30957,8.27226
222,1.54718E+12,2018-01-11 14:52:09,-0.630158,4.35464,8.26273
223,1.54718E+12,2018-01-11 14:52:09,-0.628677,4.53685,8.14951
224,1.54718E+12,2018-01-11 14:52:09,-0.72612,4.47488,8.29195
225,1.54718E+12,2018-01-11 14:52:09,-0.749725,4.4409,8.51132
226,1.54718E+12,2018-01-11 14:52:09,-0.620758,4.49544,8.56384
227,1.54718E+12,2018-01-11 14:52:09,-0.515869,4.43639,8.29433
228,1.54718E+12,2018-01-11 14:52:09,-0.534393,4.27893,8.05316
229,1.54718E+12,2018-01-11 14:52:09,-0.613708,4.3517,7.30687
230,1.54718E+12,2018-01-11 14:52:09,-1.06709,4.47383,7.21082
231,1.54718E+12,2018-01-11 14:52:09,-1.25188,4.29909,9.91231
232,1.54718E+12,2018-01-11 14:52:09,-1.05612,4.42314,10.0565
233,1.54718E+12,2018-01-11 14:52:09,-0.847519,4.53952,7.42841
234,1.54718E+12,2018-01-11 14:52:09,-0.881409,4.54039,6.58852
235,1.54718E+12,2018-01-11 14:52:09,-1.06189,4.65564,8.15694
236,1.54718E+12,2018-01-11 14:52:09,-0.991348,4.24745,9.34078
237,1.54718E+12,2018-01-11 14:52:09,-0.790466,4.14603,8.89059
238,1.54718E+12,2018-01-11 14:52:09,-0.603714,4.28856,8.18486
